Type, State, #Threads, Swap Avg Real (ns), Swap Avg CPU (ns), Mismatch
Synchronized, 5, 1, 19.2152, 19.2032, 0
Synchronized, 5, 8, 2476.56, 1061.20, 0
Synchronized, 5, 20, 6097.14, 1049.33, 0
Synchronized, 5, 40, 11800.9, 994.932, 0
Synchronized, 50, 1, 19.5238, 19.5113, 0
Synchronized, 50, 8, 2160.86, 851.234, 0
Synchronized, 50, 20, 5510.11, 886.251, 0
Synchronized, 50, 40, 11244.0, 898.614, 0
Synchronized, 100, 1, 21.3231, 21.3074, 0
Synchronized, 100, 8, 2267.03, 889.759, 0
Synchronized, 100, 20, 5669.71, 889.607, 0
Synchronized, 100, 40, 11630.3, 917.362, 0
Unsynchronized, 5, 1, 13.8972, 13.8860, 0
Unsynchronized, 5, 8, 309.678, 304.793, -35445
Unsynchronized, 5, 20, 624.200, 595.295, -20922
Unsynchronized, 5, 40, 997.120, 759.432, 107538
Unsynchronized, 50, 1, 13.9079, 13.8965, 0
Unsynchronized, 50, 8, 421.916, 419.095, -14650
Unsynchronized, 50, 20, 838.164, 822.396, -17818
Unsynchronized, 50, 40, 1417.42, 1021.16, -26212
Unsynchronized, 100, 1, 14.0631, 14.0372, 0
Unsynchronized, 100, 8, 360.143, 357.339, -23163
Unsynchronized, 100, 20, 714.372, 699.579, -29077
Unsynchronized, 100, 40, 1209.02, 892.899, -21898
AcmeSafe, 5, 1, 24.7190, 24.7057, 0
AcmeSafe, 5, 8, 1209.78, 1201.56, 0
AcmeSafe, 5, 20, 1642.96, 1584.60, 0
AcmeSafe, 5, 40, 3549.01, 2666.26, 0
AcmeSafe, 50, 1, 24.7749, 24.7637, 0
AcmeSafe, 50, 8, 985.061, 982.417, 0
AcmeSafe, 50, 20, 1867.20, 1827.07, 0
AcmeSafe, 50, 40, 2439.98, 1651.75, 0
AcmeSafe, 100, 1, 26.2051, 26.1914, 0
AcmeSafe, 100, 8, 318.423, 315.825, 0
AcmeSafe, 100, 20, 1332.36, 1306.18, 0
AcmeSafe, 100, 40, 1785.37, 1296.21, 0
